time,dt,u,v,depth_raw,depth_maf,cam_x,cam_y,cam_z,map_x,map_y,map_z
1773451162.86463,0.09844422340393066,41,585,1024.0,1183.142857142857,-0.6485039965218927,0.4792789031913368,1.183142857142857,nan,nan,nan
1773451163.0981724,0.0984339714050293,53,593,695.0,1102.5714285714287,-0.5811271945079955,0.46211625875286627,1.1025714285714288,nan,nan,nan
1773451163.3325942,0.0984194278717041,59,617,636.0,1009.7142857142857,-0.5215559346925067,0.4657153335278873,1.0097142857142856,nan,nan,nan
1773451163.5628757,0.03493642807006836,67,627,636.0,920.7142857142857,-0.4626606333269223,0.4408196983602693,0.9207142857142857,nan,nan,nan
1773451163.8080788,0.0016350746154785156,89,632,828.0,866.2857142857143,-0.4018717363066281,0.4223600255225193,0.8662857142857143,nan,nan,nan
1773451164.0331306,0.0016644001007080078,88,625,636.0,787.8571428571429,-0.366870882988416,0.37444569257615223,0.7878571428571429,nan,nan,nan
1773451164.258933,0.0016949176788330078,46,604,636.0,727.2857142857143,-0.39225943892772863,0.3188608251512225,0.7272857142857143,nan,nan,nan
1773451164.4866078,0.035062551498413086,54,641,636.0,671.8571428571429,-0.35293382208506896,0.3381750060902674,0.6718571428571429,nan,nan,nan
1773451164.771422,0.06483817100524902,28,657,785.0,684.7142857142857,-0.39092306204662236,0.3638682553998382,0.6847142857142857,nan,nan,nan
1773451165.0168204,0.09815335273742676,46,664,643.0,685.7142857142857,-0.3698380095959728,0.37282144204926226,0.6857142857142857,nan,nan,nan
1773451165.2450707,0.06480193138122559,55,662,711.0,696.4285714285714,-0.36461955054928064,0.3762029597598088,0.6964285714285714,nan,nan,nan
1773451165.4706883,0.03521871566772461,94,657,643.0,670.0,-0.3049366931160611,0.35604884578035495,0.67,nan,nan,nan
1773451165.706889,0.03524303436279297,148,649,650.0,672.0,-0.24217836721108957,0.3476792952387235,0.672,nan,nan,nan
1773451165.9366367,0.03138113021850586,243,644,650.0,674.0,-0.1305562272731751,0.3428012703676686,0.674,nan,nan,nan
1773451166.1676927,0.0019719600677490234,173,638,643.0,675.0,-0.21365173385675265,0.33620400876668066,0.675,nan,nan,nan
1773451166.3966188,0.0020036697387695312,88,637,687.0,661.0,-0.30779901642563934,0.3280711406108576,0.661,nan,nan,nan
1773451166.641219,0.09792804718017578,32,606,916.0,700.0,-0.394737416155177,0.3093544136034758,0.7,nan,nan,nan
1773451166.8698068,0.09791159629821777,61,595,944.0,733.2857142857143,-0.3761968841099676,0.3099121975434912,0.7332857142857143,nan,nan,nan
1773451167.095567,0.0021011829376220703,88,598,817.0,758.1428571428571,-0.3530342295592972,0.3244082614653223,0.7581428571428571,nan,nan,nan
1773451167.322207,0.03546738624572754,141,591,839.0,785.1428571428571,-0.29259622356302273,0.3263185962834713,0.7851428571428571,nan,nan,nan
1773451167.5507073,0.002168416976928711,224,588,839.0,812.1428571428571,-0.18438873239796452,0.33326545061522866,0.812142857142857,nan,nan,nan
1773451167.7784314,0.03113412857055664,253,588,828.0,838.5714285714286,-0.14772127214288744,0.34411050045934777,0.8385714285714285,nan,nan,nan
1773451168.0017538,0.09775614738464355,254,577,806.0,855.5714285714286,-0.14921483187251566,0.33457407048689763,0.8555714285714285,nan,nan,nan
1773451168.2262046,0.031059741973876953,223,575,806.0,839.8571428571429,-0.19215453680250222,0.32548182810153714,0.8398571428571429,nan,nan,nan
1773451168.4526958,0.03103184700012207,286,570,817.0,821.7142857142857,-0.09717475986355598,0.3112420331928599,0.8217142857142856,nan,nan,nan
1773451168.6797843,0.035661935806274414,379,570,817.0,821.7142857142857,0.03690584143691269,0.3112420331928599,0.8217142857142856,nan,nan,nan
1773451168.915268,0.06429767608642578,528,580,806.0,817.0,0.2502789792317139,0.32379095079890047,0.817,nan,nan,nan
1773451169.1439605,0.0023927688598632812,578,570,806.0,812.2857142857143,0.3200940161814779,0.3076707581249308,0.8122857142857144,nan,nan,nan
1773451169.3721876,0.03576517105102539,600,574,817.0,810.7142857142857,0.3507681640427675,0.31276525363385954,0.8107142857142857,nan,nan,nan
1773451169.6003737,0.0691220760345459,628,580,806.0,810.7142857142857,0.39059612018451995,0.3212998156642351,0.8107142857142857,nan,nan,nan
1773451169.8283906,0.00249481201171875,665,551,806.0,810.7142857142857,0.44322591937183564,0.28004943251742004,0.8107142857142857,nan,nan,nan
1773451170.1002948,0.09742474555969238,682,575,806.0,809.1428571428571,0.46650119097542614,0.3135786824914282,0.8091428571428572,nan,nan,nan
1773451170.326228,0.09740877151489258,665,553,806.0,807.5714285714286,0.4415076867328611,0.2817976038308746,0.8075714285714286,nan,nan,nan
1773451170.5571587,0.06405282020568848,646,586,817.0,809.1428571428571,0.4153930753736144,0.32919505114753733,0.8091428571428572,nan,nan,nan
1773451170.7851932,0.035956382751464844,622,573,839.0,813.8571428571429,0.3835426778509535,0.3125497944148469,0.8138571428571428,nan,nan,nan
1773451171.015335,0.03066563606262207,538,573,817.0,813.8571428571429,0.26359561205030313,0.3125497944148469,0.8138571428571428,nan,nan,nan
1773451171.23957,0.002687692642211914,429,574,817.0,815.4285714285714,0.10815844905351338,0.31458397669463795,0.8154285714285714,nan,nan,nan
1773451171.4609146,0.03605246543884277,365,574,828.0,818.5714285714286,0.016657708598772202,0.3157964587351568,0.8185714285714285,nan,nan,nan
1773451171.698172,0.0972132682800293,152,566,828.0,821.7142857142857,-0.29036616388788716,0.30547512561004403,0.8217142857142856,nan,nan,nan
1773451171.9285831,0.09720182418823242,113,567,828.0,824.8571428571429,-0.34791914864823603,0.3080907347649842,0.8248571428571428,nan,nan,nan
1773451172.156836,0.0028142929077148438,84,590,795.0,821.7142857142857,-0.3884035927957567,0.3400765711069392,0.8217142857142856,nan,nan,nan
1773451172.3831308,0.002844095230102539,26,587,817.0,818.5714285714286,-0.4702183767798925,0.33446722307121185,0.8185714285714285,nan,nan,nan
1773451173.0738957,0.06364965438842773,94,601,959.0,838.8571428571429,-0.3817885419994692,0.36336120465703364,0.8388571428571429,nan,nan,nan
1773451173.4640152,0.09692978858947754,590,609,889.0,849.1428571428571,0.35249637108181325,0.37973539766218173,0.8491428571428571,nan,nan,nan
1773451173.6972814,0.06358098983764648,607,613,703.0,831.2857142857143,0.36987835520036627,0.37758379169186557,0.8312857142857143,nan,nan,nan
1773451173.9234886,0.06356215476989746,635,621,679.0,810.0,0.40020019899157044,0.3792848565080374,0.81,nan,nan,nan
1773451174.1489353,0.09688878059387207,666,625,671.0,787.5714285714286,0.4319553010706326,0.37430990084720345,0.7875714285714286,nan,nan,nan
1773451174.3748426,0.036460161209106445,659,627,687.0,772.1428571428571,0.41401000641948754,0.3696866516116766,0.7721428571428571,nan,nan,nan
1773451174.5980687,0.0031692981719970703,645,627,687.0,753.5714285714286,0.38554196927794365,0.3607950207681025,0.7535714285714286,nan,nan,nan
1773451174.8191593,0.003206968307495117,644,635,687.0,714.7142857142857,0.36440789888711944,0.352222925923562,0.7147142857142856,nan,nan,nan
1773451175.0444202,0.03009486198425293,606,613,695.0,687.0,0.30447344664065995,0.3120468214892906,0.687,nan,nan,nan
1773451175.3519135,0.06332564353942871,433,29,703.0,687.0,0.09594514640262393,-0.39188686255124716,0.687,nan,nan,nan
