time,dt,u,v,depth_center,cam_x,cam_y,cam_z,map_x,map_y,map_z
1773370375.5912676,0.09633612632751465,408,174,4317.0,0.4135459716896957,-1.3642776153009548,4.317,nan,nan,nan
1773370375.666634,0.09632086753845215,379,176,4317.0,0.19389040722914894,-1.349128955682986,4.317,nan,nan,nan
1773370375.7998085,0.06296658515930176,350,176,4029.0,-0.024046286422353878,-1.2591245222253302,4.029,nan,nan,nan
1773370375.8925934,0.09629559516906738,545,132,4649.0,1.5628363085510903,-1.811784832841512,4.649,nan,nan,nan
1773370375.9797294,0.09628009796142578,354,175,3777.0,0.003965248063735559,-1.1869975235819255,3.777,nan,nan,nan
1773370376.1057587,0.06292462348937988,374,174,4317.0,0.1560187581842271,-1.3642776153009548,4.317,nan,nan,nan
1773370376.1631217,0.09625387191772461,335,173,4317.0,-0.13938010436616335,-1.3718519451099391,4.317,nan,nan,nan
1773370376.4839485,0.029536962509155273,652,139,4317.0,2.261682445081882,-1.6293791586154078,4.317,nan,nan,nan
1773370376.506557,0.09619760513305664,171,175,4029.0,-1.2894015074719825,-1.266193545806613,4.029,nan,nan,nan
1773370376.6370676,0.09618306159973145,161,176,4029.0,-1.3600917432848108,-1.2591245222253302,4.029,nan,nan,nan
1773370376.7700927,0.029494762420654297,116,177,4029.0,-1.6781978044425385,-1.2520554986440473,4.029,nan,nan,nan
1773370376.7986162,0.09618663787841797,127,175,4029.0,-1.6004385450484275,-1.266193545806613,4.029,nan,nan,nan
1773370376.9339852,0.09613633155822754,111,175,4029.0,-1.713542922348953,-1.266193545806613,4.029,nan,nan,nan
1773370377.08022,0.09612679481506348,108,174,4029.0,-1.7347499930928014,-1.2732625693878958,4.029,nan,nan,nan
1773370377.1455388,0.029439210891723633,110,175,4029.0,-1.7206119459302358,-1.266193545806613,4.029,nan,nan,nan
1773370377.184493,0.0960991382598877,339,140,4317.0,-0.10908278513022586,-1.6218048288064233,4.317,nan,nan,nan
1773370377.2906294,0.0960843563079834,95,174,4029.0,-1.8266472996494783,-1.2732625693878958,4.029,nan,nan,nan
1773370377.4237332,0.09607124328613281,145,175,3777.0,-1.3810528040334613,-1.1869975235819255,3.777,nan,nan,nan
1773370377.5472877,0.09605765342712402,194,175,3777.0,-1.056335653063305,-1.1869975235819255,3.777,nan,nan,nan
1773370377.635937,0.09604001045227051,248,175,3777.0,-0.6984840989329288,-1.1869975235819255,3.777,nan,nan,nan
1773370377.7574368,0.06268644332885742,303,175,4317.0,-0.3817586582536632,-1.3567032854919703,4.317,nan,nan,nan
1773370377.8402188,0.09601593017578125,358,176,4029.0,0.03250590222790885,-1.2591245222253302,4.029,nan,nan,nan
1773370377.9716074,0.09600162506103516,413,174,3555.0,0.37173723458688096,-1.1234669729893199,3.555,nan,nan,nan
1773370378.1134365,0.09598278999328613,410,174,4317.0,0.4286946313076644,-1.3642776153009548,4.317,nan,nan,nan
1773370378.194947,0.09597063064575195,478,173,3555.0,0.7771665282192793,-1.1297043467375107,3.555,nan,nan,nan
1773370378.325622,0.09595656394958496,531,172,3777.0,1.1769231199355243,-1.2068781654780574,3.777,nan,nan,nan
1773370378.4622269,0.09594273567199707,565,170,3357.0,1.2463091912109594,-1.0844540317906757,3.357,nan,nan,nan
1773370378.556325,0.06258964538574219,586,168,3777.0,1.5414015546979447,-1.2333856880062335,3.777,nan,nan,nan
1773370378.6827142,0.0959005355834961,625,165,3777.0,1.7998498993476606,-1.2532663299023654,3.777,nan,nan,nan
1773370378.8217142,0.09588861465454102,616,167,4317.0,1.9890065719584447,-1.4172979239638452,4.317,nan,nan,nan
1773370378.9488869,0.0958704948425293,587,169,4317.0,1.769351007497898,-1.4021492643458766,4.317,nan,nan,nan
1773370379.0220022,0.09586215019226074,560,169,4317.0,1.56484410265532,-1.4021492643458766,4.317,nan,nan,nan
1773370379.1211095,0.06250381469726562,529,171,4317.0,1.3300398785768044,-1.387000604727908,4.317,nan,nan,nan
1773370379.2058785,0.09582781791687012,486,173,4317.0,1.0043436967904766,-1.3718519451099391,4.317,nan,nan,nan
1773370379.3337197,0.09581923484802246,442,174,4317.0,0.6710731851951642,-1.3642776153009548,4.317,nan,nan,nan
1773370379.4266388,0.09580612182617188,390,175,4029.0,0.2587146568289598,-1.266193545806613,4.029,nan,nan,nan
1773370379.6408305,0.062438011169433594,269,173,6043.0,-0.8948817519204154,-1.9203384999535238,6.043,nan,nan,nan
1773370379.8540168,0.0957341194152832,99,173,4649.0,-2.0751123687150383,-1.4773545732722044,4.649,nan,nan,nan
